label,direction,confidence,btc_price_entry,fear_greed_value,rsi14,technical_score,hour_utc,hour_sin,hour_cos,cvd_6m_pct,ema_trend_up,technical_bias_bullish,signal_technical_buy,signal_sentiment_pos,signal_fg_fear,signal_volume_high,classification
0,UP,0.75,64135.92,8.0,48.52,-2.5,22,-0.5,0.866025,,0,0,0,0,0,0,ALERT
0,DOWN,0.7,65374.72,5.0,35.24,-4.5,16,-0.866025,-0.5,,0,0,0,0,1,0,BET
1,DOWN,0.64,64735.26,5.0,43.3,-3.5,18,-1.0,-0.0,,0,0,0,0,1,0,BET
1,UP,0.58,67570.03,9.0,64.98,3.5,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
1,UP,0.68,65758.75,11.0,34.8,5.0,12,0.0,-1.0,,0,1,0,0,0,0,ALERT
1,UP,0.65,67449.15,9.0,53.92,3.5,21,-0.707107,0.707107,,0,1,0,0,1,0,BET
0,DOWN,0.51,63162.31,8.0,48.64,-3.5,12,0.0,-1.0,,0,0,0,0,1,0,SKIP
1,UP,0.75,65284.68,11.0,61.79,4.5,8,0.866025,-0.5,,0,1,0,0,0,0,BET
0,DOWN,0.65,65380.8,11.0,44.17,-2.5,4,0.866025,0.5,,0,0,0,0,1,0,SKIP
0,UP,0.58,67300.66,9.0,32.64,-2.5,17,-0.965926,-0.258819,,0,0,0,0,1,0,BET
1,UP,0.68,66731.39,11.0,61.7,5.0,14,-0.5,-0.866025,,0,1,0,0,0,1,ALERT
0,DOWN,0.55,68016.24,9.0,50.58,1.0,10,0.5,-0.866025,,0,1,0,0,0,0,NO_BET
0,UP,0.75,66184.36,11.0,38.5,6.0,12,0.0,-1.0,,0,1,0,0,0,0,ALERT
1,DOWN,0.65,64123.47,8.0,42.85,-3.5,2,0.5,0.866025,,0,0,0,0,1,0,ALERT
1,DOWN,0.62,67554.9,9.0,40.22,-5.5,14,-0.5,-0.866025,,0,0,0,0,1,0,BET
0,DOWN,0.6,67579.37,9.0,45.73,-3.5,16,-0.866025,-0.5,,0,0,0,0,0,0,BET
0,UP,0.65,64108.87,8.0,46.1,-2.5,22,-0.5,0.866025,,0,0,0,0,0,0,SKIP
0,UP,0.7,64275.2,11.0,58.96,4.5,0,0.0,1.0,,0,1,0,0,1,0,ALERT
1,DOWN,0.7,64830.24,5.0,15.71,-3.5,1,0.258819,0.965926,,0,0,0,0,1,0,BET
0,UP,0.75,65472.05,11.0,42.14,-4.5,3,0.707107,0.707107,,0,0,0,0,0,0,ALERT
1,DOWN,0.5,63115.96,8.0,48.0,-1.5,8,0.866025,-0.5,,0,0,0,0,1,0,SKIP
1,UP,0.7,67476.28,9.0,40.35,-1.0,15,-0.707107,-0.707107,,0,0,0,0,1,0,NO_BET
0,DOWN,0.55,64415.82,8.0,53.53,0.5,20,-0.866025,0.5,,0,0,0,0,1,0,SKIP
1,UP,0.71,64582.57,5.0,55.68,4.5,21,-0.707107,0.707107,,0,1,0,0,1,0,ALERT
0,UP,0.75,64229.22,8.0,71.43,2.5,16,-0.866025,-0.5,,0,1,0,0,0,0,BET
